

Generation: 1

| chromosome                                                                                                                                                                                                                                             |   id | parents      |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   53 | (36, 46)  |
| [0.0, -7.602982060789769e-13, -2.6168058622556336e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   54 | (49, 36)  |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   55 | (45, 45)  |
| [0.0, -7.602982060789769e-13, -2.5120334204275116e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   56 | (49, 42)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   57 | (45, 46)  |

Generation: 7

| chromosome                                                                                                                                                                                                                                             |   id | parents   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   53 | (36, 46)  |
| [0.0, -7.602982060789769e-13, -2.6168058622556336e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   50 | (36, 49)  |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   58 | (50, 55)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   59 | (55, 51)  |
| [0.0, -7.602982060789769e-13, -2.482783675546718e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]    |   60 | (23, 57)  |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   61 | (57, 55)  |
| [0.0, -7.619127048053891e-13, -2.482783675546718e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   62 | (53, 23)  |
| [0.0, -7.643153304740714e-13, -2.5185351391534287e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   63 | (57, 55)  |
| [0.0, -7.643153304740714e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.96252824836485e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]   |   64 | (57, 57)  |
| [0.0, -7.602982060789769e-13, -2.482783675546718e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   65 | (23, 50)  |

Generation: 8

| chromosome                                                                                                                                                                                                                                             |   id | parents   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   53 | (36, 46)  |
| [0.0, -7.602982060789769e-13, -2.628430289885545e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   50 | (36, 49)  |
| [0.0, -7.602982060789769e-13, -2.482783675546718e-13, 3.3408968954084364e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   66 | (62, 50)  |
| [0.0, -7.602982060789769e-13, -2.5185351391534287e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   67 | (61, 50)  |
| [0.0, -7.619127048053891e-13, -2.5185351391534287e-13, 3.3548402866077487e-11, 1.0821316019511363e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   68 | (61, 53)  |
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10] |   69 | (53, 59)  |
| [0.0, -7.619127048053891e-13, -2.482783675546718e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0003920104561844e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   70 | (65, 59)  |
| [0.0, -7.619127048053891e-13, -2.482783675546718e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0064320548812164e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   71 | (62, 53)  |
| [0.0, -7.700259404889598e-13, -2.482783675546718e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0112739125548006e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   72 | (62, 50)  |
| [0.0, -7.602982060789769e-13, -2.628430289885545e-13, 3.3408968954084364e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 1.0021252810172579e-15, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   73 | (50, 61)  |

Generation: 9

| chromosome                                                                                                                                                                                                                                             |   id | parents   |
|--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|
| [0.0, -7.619127048053891e-13, -2.6168058622556336e-13, 3.3548402866077487e-11, 1.1321293079364592e-10, -1.4492125933201077e-15, 9.974853852145585e-16, 2.9559873746683146e-05, -2.0202088064864084e-06, -1.95108132472524e-08, 9.827671833722739e-10]  |   53 | (36, 46)  |
