

Generation: 0

| chromosome                                                                                                                                                                                                                                               | train   | val   |     fitness |   id | parents      |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   34 | (19, 32)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.248600058686649e-13, 2.8565156650072603e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |    0 | (None, None) | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.788465601016088e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |   35 | (33, 28)     | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.248600058686649e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.090504245678696e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |   39 | (31, 0)      | 8.232e+10   | 2.1126e+11  | 1.4679e+11  |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.808530202994824e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 9.913955429990807e-10]  |   40 | (33, 28)     | 4.46736e+11 | 3.6335e+11  | 4.05043e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.2091578835779536e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   31 | (0, 19)      | 6.29288e+11 | 5.94891e+11 | 6.1209e+11  |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.886846884992362e-16, 3.0299900425141738e-05, -2.245527266080895e-06, -1.847010576944937e-08, 1.0114536553207675e-09]    |   41 | (31, 32)     | 1.23859e+12 | 1.42135e+12 | 1.32997e+12 |

Generation: 5

| chromosome                                                                                                                                                                                                                                               |   id | parents   |       train |         val |     fitness |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |   42 | (35, 36)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |   46 | (34, 37)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   48 | (38, 34)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.8665922063759645e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   44 | (38, 36)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.9181493833882984e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   45 | (36, 35)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.952439272104154e-11, -1.1357833946519518e-10, -1.5290002901748387e-15, 9.788465601016088e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   47 | (35, 37)  | 1.00477e+11 | 1.57525e+11 | 1.29001e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 2.9744222195101906e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   38 | (19, 0)   | 1.37923e+11 | 1.55405e+11 | 1.46664e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.130194591736276e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   43 | (37, 34)  | 5.84666e+10 | 2.5859e+11  | 1.58528e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.900390989218417e-08, 1.0114536553207675e-09]  |   37 | (33, 31)  | 2.24567e+11 | 1.92234e+11 | 2.08401e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.952439272104154e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.2174014773460976e-06, -1.847010576944937e-08, 1.0114536553207675e-09]   |   49 | (34, 38)  | 7.48247e+11 | 7.45097e+11 | 7.46672e+11 |

Generation: 6

| chromosome                                                                                                                                                                                                                                               |   id | parents   |       train |         val |     fitness |
|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------|-----------|-------------|-------------|-------------|
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.9181493833882984e-11, -1.0961432291600772e-10, -1.5223629717419581e-15, 9.731461152961022e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   51 | (44, 48)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.81938633531906e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   42 | (35, 36)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.253082588219778e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   50 | (42, 45)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.082744003920918e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |   56 | (42, 46)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -8.165426330861099e-13, -2.3122247137822454e-13, 2.9181493833882984e-11, -1.1092505134172915e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09] |   57 | (45, 42)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
| [0.0, -7.881938865396971e-13, -2.243517694219807e-13, 2.8665922063759645e-11, -1.1357833946519518e-10, -1.5223629717419581e-15, 9.825173493719075e-16, 3.0299900425141738e-05, -2.1485496217728127e-06, -1.847010576944937e-08, 1.0114536553207675e-09]  |   52 | (45, 44)  | 9.92876e+10 | 1.58656e+11 | 1.28972e+11 |
